day,cumulative_cost,reward,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
0,50.2,-50.2,16,0,0,23,5,0,1,1,5,0,0,0,14,0,0,0,14,0,0,0
1,88.4,-38.2,16,0,0,1,5,0,1,1,4,0,0,0,13,0,0,0,13,0,0,0
2,123.4,-35.0,15,0,0,1,5,0,1,1,3,0,0,0,12,0,0,0,12,0,0,0
3,155.20000000000002,-31.80000000000001,14,0,0,1,5,0,1,1,2,0,0,0,11,0,0,0,11,0,0,0
4,184.20000000000002,-29.0,15,0,0,1,5,0,1,1,1,0,0,0,10,0,0,0,10,0,0,0
5,210.4,-26.19999999999999,16,0,0,1,5,0,1,1,0,0,0,0,9,0,0,0,9,0,0,0
6,234.5,-24.099999999999994,13,0,0,1,6,0,1,1,0,0,0,0,8,0,0,0,8,0,0,0
7,256.7,-22.19999999999999,11,0,0,1,7,0,1,1,0,0,0,0,7,0,0,0,7,0,0,0
8,277.2,-20.5,10,0,0,1,8,0,1,1,0,0,0,0,6,0,0,0,6,0,0,0
9,297.0,-19.80000000000001,9,0,0,2,9,0,1,1,0,0,0,0,5,0,0,0,5,0,0,0
10,315.4,-18.399999999999977,7,0,0,2,10,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
11,333.4,-18.0,5,0,0,2,10,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
12,350.79999999999995,-17.399999999999977,2,0,0,2,10,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
13,383.99999999999994,-33.19999999999999,1,0,0,25,10,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
14,398.99999999999994,-15.0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
15,433.99999999999994,-35.0,-2,2,0,0,10,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
16,499.99999999999994,-66.0,-5,5,0,1,10,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
17,597.0,-97.00000000000006,-7,7,0,12,10,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
18,722.0,-125.0,-9,9,0,12,10,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0
19,851.5,-129.5,-11,11,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1043.0,-191.5,-13,13,0,12,15,0,0,12,0,0,12,12,0,0,0,0,0,0,0,0
21,1138.5,-95.5,-4,4,0,12,3,0,0,12,0,0,12,12,0,0,0,0,0,0,0,0
22,1167.5,-29.0,-2,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
23,1226.5,-59.0,-5,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
24,1315.5,-89.0,-8,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
25,1416.5,-101.0,-8,8,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
26,1527.5,-111.0,-9,9,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
27,1656.5,-129.0,-9,9,0,12,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0
28,1795.5,-139.0,-10,10,0,12,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0
29,1988.5,-193.0,-13,13,0,12,0,0,0,12,9,0,12,12,0,0,0,0,0,0,0,0
30,2203.5,-215.0,-14,14,0,12,0,0,0,12,21,0,12,12,0,0,0,0,0,0,0,0
31,2515.5,-312.0,-15,15,0,12,0,0,0,12,30,0,9,9,0,0,12,12,0,0,12,12
32,2859.5,-344.0,-20,20,0,12,0,0,12,12,30,0,0,0,0,0,12,12,0,0,12,12
33,3081.5,-222.0,-9,9,0,12,0,0,12,12,18,0,0,0,0,0,12,12,0,0,12,12
34,3088.1,-6.599999999999909,3,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0
35,3092.5,-4.400000000000091,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3096.1,-3.599999999999909,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3099.1,-3.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3112.1,-13.0,-1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3155.1,-43.0,-4,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3208.1,-53.0,-5,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3261.1,-53.0,-5,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3314.1,-53.0,-5,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3367.1,-53.0,-5,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3450.1,-83.0,-8,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3553.1,-103.0,-10,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3720.1,-167.0,-11,11,0,12,6,0,0,12,0,0,12,12,0,0,0,0,0,0,0,0
47,3786.1,-66.0,-6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
48,3862.1,-76.0,-7,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
49,3948.1,-86.0,-8,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
50,4044.1,-96.0,-9,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
51,4224.1,-180.00000000000045,-12,12,0,12,0,0,0,12,6,0,12,12,0,0,0,0,0,0,0,0
52,4426.1,-202.0,-13,13,0,12,0,0,0,12,18,0,12,12,0,0,0,0,0,0,0,0
53,4734.1,-308.0,-14,14,0,12,0,0,0,12,30,0,12,12,0,0,12,12,0,0,12,12
54,5048.1,-314.0,-17,17,0,12,0,0,12,12,30,0,0,0,0,0,12,12,0,0,12,12
