day,cumulative_cost,reward,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
0,54.2,-54.2,11,0,0,1,14,0,0,0,14,0,0,0,15,0,0,0,15,0,0,0
1,106.7,-52.5,10,0,0,1,13,0,0,0,13,0,0,0,15,0,0,0,15,0,0,0
2,157.9,-51.2,11,0,0,1,12,0,0,0,12,0,0,0,15,0,0,0,15,0,0,0
3,207.4,-49.5,10,0,0,1,11,0,0,0,11,0,0,0,15,0,0,0,15,0,0,0
4,255.4,-48.0,10,0,0,1,10,0,0,0,10,0,0,0,15,0,0,0,15,0,0,0
5,301.7,-46.29999999999998,9,0,0,1,9,0,0,0,9,0,0,0,15,0,0,0,15,0,0,0
6,346.09999999999997,-44.39999999999998,7,0,0,1,8,0,0,0,8,0,0,0,15,0,0,0,15,0,0,0
7,388.29999999999995,-42.19999999999999,6,0,0,1,7,0,1,1,7,0,0,0,14,0,0,0,14,0,0,0
8,427.69999999999993,-39.39999999999998,7,0,0,1,7,0,1,1,6,0,0,0,13,0,0,0,13,0,0,0
9,463.8999999999999,-36.19999999999999,6,0,0,1,7,0,1,1,5,0,0,0,12,0,0,0,12,0,0,0
10,496.49999999999994,-32.60000000000002,3,0,0,1,7,0,1,1,4,0,0,0,11,0,0,0,11,0,0,0
11,538.0,-41.50000000000006,5,0,0,25,4,0,1,1,0,0,0,0,10,0,0,0,10,0,0,0
12,562.1,-24.100000000000023,3,0,0,1,5,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
13,619.1,-57.0,0,0,0,25,5,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0
14,646.6,-27.5,-2,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,779.6,-133.0,-7,7,0,25,15,0,0,9,0,0,11,11,0,0,0,0,0,0,0,0
16,910.3000000000001,-130.70000000000005,1,0,0,25,4,0,0,9,0,0,9,9,0,0,11,11,0,0,11,11
17,915.7,-5.399999999999977,2,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0
18,919.5,-3.7999999999999545,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,923.1,-3.6000000000000227,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,926.1,-3.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1042.6,-116.49999999999989,-3,3,0,25,6,0,0,9,0,0,25,25,0,0,0,0,0,0,0,0
22,1071.6,-29.0,-1,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
23,1263.1,-191.5,-2,2,0,25,0,0,0,25,19,0,9,9,0,0,11,11,0,0,11,11
24,1321.1,-58.0,-3,3,0,0,0,0,11,0,28,0,0,0,0,0,0,0,0,0,0,0
25,1339.5,-18.40000000000009,7,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
26,1357.5,-18.0,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
27,1374.9,-17.40000000000009,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
28,1414.6000000000001,-39.700000000000045,1,0,0,9,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0
29,1526.1000000000001,-111.5,-2,2,0,25,0,0,0,25,17,0,9,9,0,0,0,0,0,0,0,0
30,1715.6000000000001,-189.5,-5,5,0,9,0,0,0,9,26,0,9,9,0,0,11,11,0,0,9,9
31,1812.6000000000001,-97.0,-6,6,0,2,0,0,9,2,30,0,0,0,2,0,0,0,0,0,0,0
32,1921.1000000000001,-108.5,0,0,0,9,0,0,0,9,21,0,0,0,2,0,9,9,0,0,9,9
33,1946.1000000000001,-25.0,0,0,0,2,0,0,9,0,21,0,0,0,2,0,0,0,0,0,0,0
34,1961.7,-15.599999999999909,8,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
35,1976.9,-15.200000000000045,6,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
36,1991.7,-14.799999999999955,4,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
37,2006.1000000000001,-14.400000000000091,2,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
38,2100.6000000000004,-94.50000000000023,-4,4,0,9,0,0,0,9,12,0,9,9,2,0,0,0,0,0,0,0
39,2332.1000000000004,-231.5,-7,7,0,25,0,0,0,25,21,0,9,9,2,0,9,9,0,0,9,9
40,2547.6000000000004,-215.5,-8,8,0,9,0,0,9,9,30,0,9,9,2,0,9,9,0,0,9,9
41,2580.6000000000004,-33.0,-1,1,0,0,0,0,9,0,21,0,0,0,2,0,0,0,0,0,0,0
42,2596.0000000000005,-15.400000000000091,7,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
43,2611.0000000000005,-15.0,5,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
44,2626.0000000000005,-15.0,5,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
45,2640.8000000000006,-14.800000000000182,4,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
46,2655.2000000000007,-14.400000000000091,2,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
47,2709.7000000000007,-54.5,0,0,0,9,0,0,0,9,12,0,9,9,2,0,0,0,0,0,0,0
48,2846.2000000000007,-136.5,-1,1,0,9,0,0,0,9,21,0,9,9,2,0,9,9,0,0,9,9
49,2898.2000000000007,-52.0,-2,2,0,0,0,0,9,0,30,0,0,0,2,0,0,0,0,0,0,0
50,2922.2000000000007,-24.0,5,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
51,2945.4000000000005,-23.199999999999818,1,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
52,3081.9000000000005,-136.5,-1,1,0,9,0,0,0,9,21,0,9,9,2,0,9,9,0,0,9,9
53,3133.9000000000005,-52.0,-2,2,0,0,0,0,9,0,30,0,0,0,2,0,0,0,0,0,0,0
54,3157.7000000000007,-23.800000000000182,4,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
55,3181.500000000001,-23.800000000000182,4,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
56,3204.900000000001,-23.40000000000009,2,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
57,3268.400000000001,-63.5,0,0,0,9,0,0,0,9,21,0,9,9,2,0,0,0,0,0,0,0
58,3423.900000000001,-155.5,-2,2,0,9,0,0,0,9,30,0,9,9,2,0,9,9,0,0,9,9
59,3515.900000000001,-92.0,-6,6,0,0,0,0,9,0,30,0,0,0,2,0,0,0,0,0,0,0
60,3634.400000000001,-118.5,-1,1,0,9,0,0,0,9,21,0,0,0,2,0,9,9,0,0,9,9
61,3728.900000000001,-94.5,-4,4,0,0,0,0,9,9,21,0,9,9,2,0,0,0,0,0,0,0
62,3752.100000000001,-23.199999999999818,1,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
63,3898.600000000001,-146.5,-2,2,0,9,0,0,0,9,21,0,9,9,2,0,9,9,0,0,9,9
64,3970.600000000001,-72.0,-4,4,0,0,0,0,9,0,30,0,0,0,2,0,0,0,0,0,0,0
65,3993.8000000000006,-23.199999999999818,1,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
66,4130.300000000001,-136.50000000000045,-1,1,0,9,0,0,0,9,21,0,9,9,2,0,9,9,0,0,9,9
67,4202.300000000001,-72.0,-4,4,0,0,0,0,9,0,30,0,0,0,2,0,0,0,0,0,0,0
68,4226.300000000001,-24.0,5,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
69,4249.9000000000015,-23.600000000000364,3,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
70,4273.100000000001,-23.199999999999818,1,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
71,4419.600000000001,-146.5,-2,2,0,9,0,0,0,9,21,0,9,9,2,0,9,9,0,0,9,9
72,4501.600000000001,-82.0,-5,5,0,0,0,0,9,0,30,0,0,0,2,0,0,0,0,0,0,0
73,4610.500000000001,-108.89999999999964,2,0,0,9,0,0,0,9,21,0,0,0,2,0,9,9,0,0,9,9
74,4633.700000000001,-23.199999999999818,1,0,0,0,0,0,9,0,21,0,0,0,2,0,0,0,0,0,0,0
75,4649.1,-15.399999999999636,7,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
76,4664.1,-15.0,5,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
77,4678.5,-14.399999999999636,2,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
78,4743.0,-64.5,-1,1,0,9,0,0,0,9,12,0,9,9,2,0,0,0,0,0,0,0
79,4909.5,-166.5,-4,4,0,9,0,0,0,9,21,0,9,9,2,0,9,9,0,0,9,9
80,5033.0,-123.5,-6,6,0,0,0,0,9,9,30,0,9,9,2,0,0,0,0,0,0,0
81,5056.4,-23.399999999999636,2,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0
82,5129.9,-73.5,-1,1,0,9,0,0,0,9,21,0,9,9,2,0,0,0,0,0,0,0
83,5285.4,-155.5,-2,2,0,9,0,0,0,9,30,0,9,9,2,0,9,9,0,0,9,9
84,5357.4,-72.0,-4,4,0,0,0,0,9,0,30,0,0,0,2,0,0,0,0,0,0,0
