day,cumulative_cost,reward,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
0,53.4,-53.4,7,0,0,1,14,0,0,0,14,0,0,0,15,0,0,0,15,0,0,0
1,104.8,-51.4,7,0,0,1,13,0,1,1,13,0,0,0,14,0,0,0,14,0,0,0
2,153.0,-48.2,6,0,0,1,13,0,1,1,12,0,0,0,13,0,0,0,13,0,0,0
3,198.0,-45.0,5,0,0,1,13,0,1,1,11,0,0,0,12,0,0,0,12,0,0,0
4,240.2,-42.19999999999999,6,0,0,1,13,0,1,1,10,0,0,0,11,0,0,0,11,0,0,0
5,279.6,-39.400000000000034,7,0,0,1,13,0,1,1,9,0,0,0,10,0,0,0,10,0,0,0
6,316.1,-36.5,5,0,0,1,13,0,0,0,8,0,0,0,10,0,0,0,10,0,0,0
7,350.40000000000003,-34.30000000000001,4,0,0,1,12,0,1,1,7,0,0,0,9,0,0,0,9,0,0,0
8,381.70000000000005,-31.30000000000001,4,0,0,1,12,0,1,1,6,0,0,0,8,0,0,0,8,0,0,0
9,410.00000000000006,-28.30000000000001,4,0,0,1,12,0,1,1,5,0,0,0,7,0,0,0,7,0,0,0
10,435.1000000000001,-25.100000000000023,3,0,0,1,12,0,1,1,4,0,0,0,6,0,0,0,6,0,0,0
11,457.00000000000006,-21.899999999999977,2,0,0,1,12,0,1,1,3,0,0,0,5,0,0,0,5,0,0,0
12,489.90000000000003,-32.89999999999998,2,0,0,25,10,0,1,1,0,0,0,0,4,0,0,0,4,0,0,0
13,504.1,-14.199999999999989,1,0,0,1,11,0,1,1,0,0,0,0,3,0,0,0,3,0,0,0
14,534.6,-30.5,0,0,0,25,12,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0
15,644.6,-110.0,-2,2,0,25,13,0,2,9,0,0,25,25,0,0,0,0,0,0,0,0
16,656.6,-12.0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
17,668.2,-11.600000000000023,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
18,679.4000000000001,-11.200000000000045,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
19,690.2,-10.799999999999955,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
20,700.6,-10.399999999999977,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
21,776.1,-75.5,-1,1,0,25,0,0,0,25,10,0,0,0,0,0,0,0,0,0,0,0
22,958.6,-182.5,-2,2,0,25,0,0,0,25,10,0,9,9,0,0,11,11,0,0,11,11
23,1027.6,-68.99999999999989,-5,5,0,0,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0
24,1036.1999999999998,-8.599999999999909,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
25,1044.7999999999997,-8.599999999999909,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
26,1053.1999999999998,-8.400000000000091,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
27,1084.1,-30.90000000000009,2,0,0,9,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0
28,1114.8,-30.700000000000045,1,0,0,9,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0
29,1183.3,-68.5,-2,2,0,9,0,0,0,9,8,0,9,9,0,0,0,0,0,0,0,0
30,1347.8,-164.5,-3,3,0,9,0,0,0,9,17,0,9,9,0,0,11,11,0,0,11,11
31,1413.8,-66.0,-4,4,0,0,0,0,11,0,26,0,0,0,0,0,0,0,0,0,0,0
32,1429.2,-15.400000000000091,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
33,1484.9,-55.700000000000045,1,0,0,9,0,0,0,9,15,0,9,9,0,0,0,0,0,0,0,0
34,1549.6000000000001,-64.70000000000005,1,0,0,9,0,0,0,9,24,0,9,9,0,0,0,0,0,0,0,0
35,1675.1000000000001,-125.5,-1,1,0,9,0,0,0,9,30,0,0,0,0,0,9,9,0,0,9,9
36,1760.1000000000001,-85.0,-5,5,0,2,0,0,9,2,30,0,0,0,0,0,0,0,0,0,0,0
37,1803.8000000000002,-43.700000000000045,1,0,0,9,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0
38,1928.3000000000002,-124.5,0,0,0,9,0,0,0,9,21,0,9,9,0,0,9,9,0,0,9,9
39,1988.3000000000002,-60.0,-3,3,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
40,2010.3000000000002,-22.0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
41,2032.3000000000002,-22.0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
42,2054.3,-22.0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
43,2076.3,-22.0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
44,2097.7000000000003,-21.40000000000009,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
45,2159.2000000000003,-61.5,0,0,0,9,0,0,0,9,21,0,9,9,0,0,0,0,0,0,0,0
46,2302.7000000000003,-143.5,-1,1,0,9,0,0,0,9,30,0,9,9,0,0,9,9,0,0,9,9
47,2352.7000000000003,-50.0,-2,2,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
48,2374.9,-22.199999999999818,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
49,2396.9,-22.0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
50,2418.7000000000003,-21.800000000000182,4,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
51,2439.9,-21.199999999999818,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
52,2564.4,-124.5,0,0,0,9,0,0,0,9,21,0,9,9,0,0,9,9,0,0,9,9
53,2604.4,-40.0,-1,1,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
54,2626.4,-22.0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
55,2648.4,-22.0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
56,2669.8,-21.40000000000009,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
57,2731.3,-61.5,0,0,0,9,0,0,0,9,21,0,9,9,0,0,0,0,0,0,0,0
58,2894.8,-163.5,-3,3,0,9,0,0,0,9,30,0,9,9,0,0,9,9,0,0,9,9
59,2984.8,-90.0,-6,6,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
60,3091.3,-106.5,0,0,0,9,0,0,0,9,21,0,0,0,0,0,9,9,0,0,9,9
61,3142.3,-51.0,-3,3,0,0,0,0,9,0,21,0,0,0,0,0,0,0,0,0,0,0
62,3155.3,-13.0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
63,3167.9,-12.599999999999909,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
64,3180.5,-12.599999999999909,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
65,3202.5,-22.0,-1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
66,3393.0,-190.5,-4,4,0,25,0,0,0,25,12,0,9,9,0,0,9,9,0,0,9,9
67,3494.0,-101.0,-8,8,0,0,0,0,9,0,21,0,0,0,0,0,0,0,0,0,0,0
68,3619.5,-125.5,-1,1,0,9,0,0,0,9,12,0,9,9,0,0,9,9,0,0,9,9
69,3700.5,-81.0,-6,6,0,0,0,0,9,0,21,0,0,0,0,0,0,0,0,0,0,0
70,3753.4,-52.90000000000009,2,0,0,9,0,0,0,9,12,0,9,9,0,0,0,0,0,0,0,0
71,3774.4,-21.0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
72,3918.9,-144.5,-2,2,0,9,0,0,0,9,21,0,9,9,0,0,9,9,0,0,9,9
73,3998.9,-80.0,-5,5,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
74,4106.0,-107.09999999999991,3,0,0,9,0,0,0,9,21,0,0,0,0,0,9,9,0,0,9,9
75,4127.2,-21.199999999999818,1,0,0,0,0,0,9,0,21,0,0,0,0,0,0,0,0,0,0,0
76,4141.0,-13.800000000000182,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
77,4154.0,-13.0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
78,4167.0,-13.0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
79,4179.2,-12.199999999999818,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
80,4304.7,-125.5,-1,1,0,9,0,0,0,9,12,0,9,9,0,0,9,9,0,0,9,9
81,4385.7,-81.0,-6,6,0,0,0,0,9,0,21,0,0,0,0,0,0,0,0,0,0,0
82,4438.599999999999,-52.899999999999636,2,0,0,9,0,0,0,9,12,0,9,9,0,0,0,0,0,0,0,0
83,4459.599999999999,-21.0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
84,4594.099999999999,-134.5,-1,1,0,9,0,0,0,9,21,0,9,9,0,0,9,9,0,0,9,9
85,4644.099999999999,-50.0,-2,2,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
86,4666.299999999999,-22.199999999999818,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
87,4688.299999999999,-22.0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
88,4709.9,-21.600000000000364,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
89,4731.099999999999,-21.199999999999818,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
90,4855.599999999999,-124.5,0,0,0,9,0,0,0,9,21,0,9,9,0,0,9,9,0,0,9,9
91,4905.599999999999,-50.0,-2,2,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
92,4927.799999999999,-22.199999999999818,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
93,4949.4,-21.600000000000364,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
94,4970.4,-21.0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
95,5094.9,-124.5,0,0,0,9,0,0,0,9,21,0,9,9,0,0,9,9,0,0,9,9
96,5164.9,-70.0,-4,4,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
97,5186.299999999999,-21.399999999999636,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
98,5277.799999999999,-91.5,-3,3,0,9,0,0,0,9,21,0,9,9,0,0,0,0,0,0,0,0
99,5441.299999999999,-163.5,-3,3,0,9,0,0,0,9,30,0,9,9,0,0,9,9,0,0,9,9
100,5511.299999999999,-70.0,-4,4,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
101,5532.499999999999,-21.199999999999818,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
102,5656.999999999999,-124.5,0,0,0,9,0,0,0,9,21,0,9,9,0,0,9,9,0,0,9,9
103,5696.999999999999,-40.0,-1,1,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
104,5719.199999999999,-22.199999999999818,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
105,5741.199999999999,-22.0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
106,5762.999999999999,-21.800000000000182,4,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
107,5784.399999999999,-21.399999999999636,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
108,5845.899999999999,-61.5,0,0,0,9,0,0,0,9,21,0,9,9,0,0,0,0,0,0,0,0
109,5989.399999999999,-143.5,-1,1,0,9,0,0,0,9,30,0,9,9,0,0,9,9,0,0,9,9
110,6049.399999999999,-60.0,-3,3,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
111,6071.5999999999985,-22.199999999999818,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
112,6092.799999999998,-21.199999999999818,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
113,6217.499999999998,-124.69999999999982,1,0,0,9,0,0,0,9,21,0,9,9,0,0,9,9,0,0,9,9
114,6247.699999999998,-30.199999999999818,1,0,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0
115,6270.099999999998,-22.399999999999636,7,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
