day,cumulative_cost,reward,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
0,61.0,-61.0,10,0,0,4,11,0,1,1,11,0,1,1,14,0,1,1,14,0,1,1
1,122.6,-61.599999999999994,13,0,0,4,8,0,4,4,8,0,4,4,11,0,1,1,11,0,1,1
2,200.5,-77.9,12,0,0,1,11,0,4,4,11,0,4,4,8,0,4,4,8,0,4,4
3,277.9,-77.39999999999998,12,0,0,2,13,0,1,1,13,0,1,1,11,0,4,4,11,0,4,4
4,340.7,-62.80000000000001,14,0,0,2,12,0,2,2,12,0,2,2,13,0,1,1,13,0,1,1
5,409.5,-68.80000000000001,14,0,0,0,14,0,2,2,14,0,2,2,12,0,2,2,12,0,2,2
6,477.7,-68.19999999999999,11,0,0,0,16,0,0,0,16,0,0,0,14,0,2,2,14,0,2,2
7,534.5999999999999,-56.89999999999992,12,0,0,3,13,0,0,0,13,0,0,0,16,0,0,0,16,0,0,0
8,592.1999999999999,-57.60000000000002,13,0,0,2,11,0,3,3,11,0,3,3,13,0,0,0,13,0,0,0
9,665.3,-73.10000000000002,13,0,0,1,13,0,2,2,13,0,2,2,11,0,3,3,11,0,3,3
10,733.1999999999999,-67.89999999999998,12,0,0,1,14,0,1,1,14,0,1,1,13,0,2,2,13,0,2,2
11,795.5999999999999,-62.39999999999998,12,0,0,2,13,0,1,1,13,0,1,1,14,0,1,1,14,0,1,1
12,857.8,-62.200000000000045,11,0,0,2,12,0,2,2,12,0,2,2,13,0,1,1,13,0,1,1
13,924.9,-67.10000000000002,13,0,0,3,11,0,2,2,11,0,2,2,12,0,2,2,12,0,2,2
14,993.0,-68.10000000000002,13,0,0,1,12,0,3,3,12,0,3,3,11,0,2,2,11,0,2,2
15,1065.9,-72.90000000000009,12,0,0,1,14,0,1,1,14,0,1,1,12,0,3,3,12,0,3,3
