day,cumulative_cost,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
0,95.7,11,0,0,5,10,0,11,11,10,0,11,11,4,0,3,3,4,0,6,6
1,267.9,11,0,0,1,20,0,2,2,20,0,11,11,5,0,19,19,8,0,3,3
2,459.9,10,0,0,1,21,0,5,5,29,0,3,3,19,0,21,21,6,0,3,3
3,615.8,17,0,0,9,17,0,6,6,21,0,0,0,24,0,8,8,3,0,19,19
4,724.8,20,0,0,3,20,0,2,2,18,0,2,2,28,0,3,3,20,0,2,2
5,843.3,20,0,0,0,22,0,5,5,20,0,2,2,25,0,2,2,17,0,10,10
6,950.6999999999999,17,0,0,0,27,0,7,7,22,0,2,2,20,0,2,2,20,0,2,2
7,1065.9,16,0,0,1,29,0,1,1,23,0,6,6,21,0,2,2,21,0,4,4
8,1188.6000000000001,16,0,0,1,29,0,0,0,28,0,5,5,23,0,2,2,25,0,4,4
9,1316.2,18,0,0,3,26,0,0,0,27,0,0,0,25,0,5,5,29,0,1,1
10,1425.9,16,0,0,0,26,0,1,1,27,0,1,1,29,0,1,1,29,0,0,0
11,1533.6000000000001,16,0,0,2,25,0,4,4,26,0,1,1,26,0,1,1,25,0,0,0
12,1643.3000000000002,16,0,0,3,26,0,1,1,24,0,2,2,26,0,1,1,24,0,3,3
13,1757.0000000000002,16,0,0,1,26,0,3,3,25,0,1,1,24,0,3,3,24,0,1,1
14,1868.9000000000003,17,0,0,2,27,0,4,4,24,0,2,2,23,0,1,1,21,0,5,5
15,1968.6000000000004,16,0,0,1,29,0,0,0,25,0,1,1,24,0,0,0,26,0,2,2
16,2094.7000000000003,13,0,0,0,29,0,0,0,26,0,0,0,24,0,5,5,28,0,3,3
17,2234.9,16,0,0,5,24,0,0,0,21,0,3,3,29,0,6,6,30,0,2,2
18,2334.8,17,0,0,3,21,0,0,0,21,0,1,1,30,0,0,0,30,0,0,0
19,2438.9,18,0,0,3,18,0,9,9,19,0,7,7,21,0,0,0,21,0,0,0
